Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.008,39.312,28.56,28.56,28.56,28.56,28.56,239.12,16.1833,10.8819,57687,75894,74096,74605,75215,75828,76359,=AVERAGE(L3:R3),
1.6,232.4,249.648,259.392,248.528,236.208,235.984,221.872,1684.03,16.1833,10.8819,8599,9128,12367,12800,13730,13919,14449,=AVERAGE(L4:R4),
1.7,252.112,250.656,244.16,250.656,252.448,248.64,257.936,1756.61,16.1833,10.8819,8790,8401,8458,8765,8549,8662,8535,=AVERAGE(L5:R5),
1.8,248.304,247.632,251.328,242.368,247.296,253.344,244.72,1734.99,16.1833,10.8819,8954,8488,8696,8611,8673,8582,8867,=AVERAGE(L6:R6),
1.9,248.192,251.104,247.632,251.888,246.624,245.952,251.44,1742.83,16.1833,10.8819,8785,8767,8995,8521,8950,8652,8523,=AVERAGE(L7:R7),
2,249.312,245.84,256.816,249.312,253.12,250.992,240.352,1745.74,16.3097,11.7278,8780,8932,8799,8986,8859,8991,8968,=AVERAGE(L8:R8),
2.1,253.232,251.328,244.496,251.216,251.328,253.344,250.544,1755.49,15.9825,13.4635,8437,8758,8581,8489,8263,8575,8773,=AVERAGE(L9:R9),
2.2,249.76,254.576,252.56,244.832,243.488,252.336,249.984,1747.54,14.5863,14.9015,8666,8460,8574,8679,8665,8540,8356,=AVERAGE(L10:R10),
2.3,252.336,243.264,251.104,251.104,250.208,245.504,247.408,1740.93,11.792,15.9099,8875,8767,8548,8761,8646,8712,8818,=AVERAGE(L11:R11),
2.4,215.152,224.56,219.856,212.8,213.696,221.088,214.368,1521.52,6.59847,16.3159,8759,8764,8556,8816,8868,8632,8704,=AVERAGE(L12:R12),
2.5,0,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,0,=AVERAGE(L13:R13),
2.6,145.152,120.064,119.168,145.04,145.712,137.088,145.824,958.048,16.9444,6.35743,39508,49637,49411,40344,41250,43625,40996,=AVERAGE(L14:R14),
2.7,172.48,146.832,162.624,161.168,126.336,133.952,142.576,1045.97,18.0955,6.87199,21315,24377,22627,22874,28006,26391,25097,=AVERAGE(L15:R15),
2.8,162.064,156.912,147.504,158.256,154.784,167.552,158.032,1105.1,6.7783,18.126,9595,10073,11978,9538,10849,10616,11458,=AVERAGE(L16:R16),
2.9,165.648,162.736,150.752,152.768,155.792,137.424,139.216,1064.34,6.39803,16.9157,20610,21699,23193,23284,22123,25295,24798,=AVERAGE(L17:R17),
3,205.632,223.776,213.024,218.512,216.048,206.976,208.432,1492.4,13.742,6.74658,9143,8858,8717,8989,8861,9039,8572,=AVERAGE(L18:R18),
3.1,0,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,0,=AVERAGE(L19:R19),
3.2,258.944,222.768,233.184,225.344,236.096,248.08,243.152,1667.57,13.815,15.774,24947,28386,27302,28136,27098,25594,26177,=AVERAGE(L20:R20),
3.3,245.28,253.456,248.976,245.392,253.344,249.312,251.44,1747.2,12.0224,16.3173,8882,8878,8984,8936,8413,8831,8462,=AVERAGE(L21:R21),
3.4,247.52,249.312,254.912,249.984,248.864,251.664,247.744,1750,11.8397,16.315,8664,8494,8636,8858,8726,8664,8885,=AVERAGE(L22:R22),
3.5,249.872,254.128,252.672,251.552,251.664,250.096,249.424,1759.41,11.6551,16.3046,8940,8340,8706,8864,8893,8845,8967,=AVERAGE(L23:R23),
3.6,249.648,246.96,246.4,248.752,254.24,254.576,247.968,1748.54,11.4685,16.2864,8951,8997,8834,8961,8931,8978,8917,=AVERAGE(L24:R24),
3.7,252.224,243.264,251.104,249.984,244.16,248.416,242.032,1731.18,11.28,16.2605,8461,8541,8571,8584,8694,8549,8413,=AVERAGE(L25:R25),
3.8,253.456,262.64,247.856,242.032,246.96,241.248,247.072,1741.26,11.2554,16.2566,8568,8772,8722,8640,8710,8438,8759,=AVERAGE(L26:R26),
3.9,238.224,246.288,250.88,252.56,249.088,251.664,260.736,1749.44,11.2554,16.2566,8369,8511,8703,8576,8592,8732,8697,=AVERAGE(L27:R27),
4,258.72,256.032,244.384,246.4,244.048,243.6,239.792,1732.98,11.2554,16.2566,8732,8791,8776,8721,8341,8666,8784,=AVERAGE(L28:R28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(I7:I28)
