Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,16.1833,10.8819,0,0,0,0,=AVERAGE(I2:L2),
1.5,39.2,57.232,28.56,28.56,153.552,16.1833,10.8819,76180,57253,74174,74605,=AVERAGE(I3:L3),
1.6,289.296,278.656,292.768,286.384,1147.1,16.1833,10.8819,6924,6043,9927,10153,=AVERAGE(I4:L4),
1.7,293.664,295.232,298.48,291.312,1178.69,16.1833,10.8819,5843,5822,5836,5879,=AVERAGE(I5:L5),
1.8,295.792,295.68,294.336,297.472,1183.28,16.1833,10.8819,5800,5832,5846,5816,=AVERAGE(I6:L6),
1.9,295.568,292.544,295.344,293.664,1177.12,16.1833,10.8819,5831,5854,5836,5862,=AVERAGE(I7:L7),
2,296.128,297.808,297.248,293.888,1185.07,16.3097,11.7278,5821,5805,5837,5851,=AVERAGE(I8:L8),
2.1,294,296.016,293.664,296.464,1180.14,15.9825,13.4636,5825,5823,5875,5842,=AVERAGE(I9:L9),
2.2,297.136,294.336,294.56,295.344,1181.38,14.5862,14.9015,5826,5829,5851,5860,=AVERAGE(I10:L10),
2.3,293.216,294.672,297.136,293.776,1178.8,11.7922,15.9099,5843,5826,5835,5856,=AVERAGE(I11:L11),
2.4,263.424,255.808,258.944,256.368,1034.54,6.59847,16.3159,5861,5841,5840,5882,=AVERAGE(I12:L12),
2.5,0,0,0,0,0,6.87199,13.6971,0,0,0,0,=AVERAGE(I13:L13),
2.6,177.632,173.152,167.328,160.72,678.832,16.9443,6.35806,31407,32972,34351,35839,=AVERAGE(I14:L14),
2.7,193.984,180.432,173.376,183.456,731.248,18.0955,6.87199,17059,18464,19404,18088,=AVERAGE(I15:L15),
2.8,225.008,224.672,227.136,226.576,903.392,6.77921,18.1259,6042,6018,6045,6048,=AVERAGE(I16:L16),
2.9,191.408,184.8,172.592,180.096,728.896,6.39803,16.9157,16506,17479,18992,18034,=AVERAGE(I17:L17),
3,246.512,248.64,250.768,251.44,997.36,13.742,6.74737,6046,6023,6040,6034,=AVERAGE(I18:L18),
3.1,0,0,0,0,0,16.3136,6.39803,0,0,0,0,=AVERAGE(I19:L19),
3.2,295.904,281.568,273.84,286.608,1137.92,13.8148,15.7738,20089,21369,22126,20895,=AVERAGE(I20:L20),
3.3,294.896,293.776,295.344,296.912,1180.93,12.0224,16.3173,5831,5840,5845,5832,=AVERAGE(I21:L21),
3.4,295.792,296.016,293.776,294.448,1180.03,11.8397,16.315,5827,5844,5869,5862,=AVERAGE(I22:L22),
3.5,296.576,293.776,293.888,293.776,1178.02,11.6551,16.3046,5792,5833,5835,5840,=AVERAGE(I23:L23),
3.6,295.68,296.24,297.472,294,1183.39,11.4685,16.2864,5820,5800,5809,5854,=AVERAGE(I24:L24),
3.7,296.688,297.136,298.48,298.592,1190.9,11.28,16.2605,5838,5831,5835,5847,=AVERAGE(I25:L25),
3.8,297.472,298.032,298.144,295.68,1189.33,11.2554,16.2566,5838,5813,5860,5834,=AVERAGE(I26:L26),
3.9,294.56,296.8,293.44,298.032,1182.83,11.2554,16.2566,5854,5846,5846,5854,=AVERAGE(I27:L27),
4,291.984,293.776,295.232,292.208,1173.2,11.2554,16.2566,5821,5812,5847,5846,=AVERAGE(I28:L28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(F7:F28)
