Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,38.192,95.424,14.394,15.0139,57330,77013,=AVERAGE(G3:H3),
1.6,282.352,296.352,578.704,14.394,15.0139,5633,6600,=AVERAGE(G4:H4),
1.7,299.152,298.032,597.184,14.394,15.0139,5371,5380,=AVERAGE(G5:H5),
1.8,298.592,298.704,597.296,14.394,15.0139,5380,5382,=AVERAGE(G6:H6),
1.9,298.368,298.48,596.848,14.394,15.0139,5383,5382,=AVERAGE(G7:H7),
2,298.816,298.032,596.848,14.2957,15.0676,5367,5377,=AVERAGE(G8:H8),
2.1,300.496,298.368,598.864,14.0656,15.1842,5364,5382,=AVERAGE(G9:H9),
2.2,298.032,298.816,596.848,13.8206,15.2962,5380,5384,=AVERAGE(G10:H10),
2.3,299.152,298.48,597.632,13.5605,15.4034,5380,5377,=AVERAGE(G11:H11),
2.4,298.256,298.368,596.624,13.2848,15.5056,5382,5381,=AVERAGE(G12:H12),
2.5,298.48,297.696,596.176,12.9932,15.6027,5375,5382,=AVERAGE(G13:H13),
2.6,298.48,300.048,598.528,12.6853,15.6945,5378,5367,=AVERAGE(G14:H14),
2.7,298.48,298.144,596.624,12.3607,15.7808,5380,5390,=AVERAGE(G15:H15),
2.8,298.144,298.704,596.848,12.019,15.8615,5387,5371,=AVERAGE(G16:H16),
2.9,299.152,298.368,597.52,11.6597,15.9363,5377,5394,=AVERAGE(G17:H17),
3,298.368,298.256,596.624,11.2826,16.0051,5371,5374,=AVERAGE(G18:H18),
3.1,298.256,299.6,597.856,10.8871,16.0676,5388,5376,=AVERAGE(G19:H19),
3.2,298.256,299.152,597.408,10.4728,16.1237,5375,5374,=AVERAGE(G20:H20),
3.3,298.48,298.032,596.512,10.0394,16.1731,5392,5386,=AVERAGE(G21:H21),
3.4,299.264,298.144,597.408,9.58647,16.2156,5368,5378,=AVERAGE(G22:H22),
3.5,297.808,298.032,595.84,9.1135,16.2511,5385,5399,=AVERAGE(G23:H23),
3.6,299.376,298.928,598.304,8.62009,16.2793,5378,5369,=AVERAGE(G24:H24),
3.7,298.592,299.6,598.192,8.10581,16.2999,5373,5364,=AVERAGE(G25:H25),
3.8,300.384,299.712,600.096,7.57031,16.3127,5378,5388,=AVERAGE(G26:H26),
3.9,298.032,299.712,597.744,7.01306,16.3175,5383,5372,=AVERAGE(G27:H27),
4,298.48,299.376,597.856,6.43368,16.3141,5373,5383,=AVERAGE(G28:H28),
4.1,298.256,298.256,596.512,5.83171,16.3021,5391,5374,=AVERAGE(G29:H29),
4.2,0,0.336,0.336,7.23397,13.572,0,5777,=AVERAGE(G30:H30),
4.3,298.816,292.768,591.584,7.24916,13.572,17541,18053,=AVERAGE(G31:H31),
4.4,297.584,298.48,596.064,7.98101,13.297,5384,5377,=AVERAGE(G32:H32),
4.5,298.144,299.824,597.968,8.70789,13.0061,5386,5379,=AVERAGE(G33:H33),
4.6,298.256,298.032,596.288,9.41411,12.6989,5362,5378,=AVERAGE(G34:H34),
4.7,299.376,298.032,597.408,10.0992,12.375,5375,5388,=AVERAGE(G35:H35),
4.8,299.488,298.704,598.192,10.7627,12.034,5391,5374,=AVERAGE(G36:H36),
4.9,298.592,298.032,596.624,11.404,11.6755,5378,5393,=AVERAGE(G37:H37),
5,298.256,300.048,598.304,12.0229,11.2991,5370,5356,=AVERAGE(G38:H38),
5.1,298.48,299.152,597.632,12.6187,10.9044,5366,5382,=AVERAGE(G39:H39),
5.2,298.144,299.488,597.632,13.1911,10.491,5399,5380,=AVERAGE(G40:H40),
5.3,300.16,298.368,598.528,13.7397,10.0585,5369,5379,=AVERAGE(G41:H41),
5.4,298.256,299.6,597.856,14.2639,9.60631,5369,5348,=AVERAGE(G42:H42),
5.5,298.592,298.368,596.96,14.7636,9.13424,5377,5389,=AVERAGE(G43:H43),
5.6,298.032,298.368,596.4,15.2382,8.64171,5386,5399,=AVERAGE(G44:H44),
5.7,298.592,298.816,597.408,15.6873,8.12837,5359,5372,=AVERAGE(G45:H45),
5.8,298.592,298.48,597.072,16.1108,7.59372,5374,5386,=AVERAGE(G46:H46),
5.9,298.592,298.368,596.96,16.5081,7.03746,5391,5360,=AVERAGE(G47:H47),
6,298.144,299.824,597.968,16.8791,6.459,5410,5380,=AVERAGE(G48:H48),
6.1,17.808,17.696,35.504,18.4098,5.80545,5144,5150,=AVERAGE(G49:H49),
6.2,263.2,258.72,521.92,17.8145,7.67848,20001,20556,=AVERAGE(G50:H50),
6.3,299.264,298.256,597.52,17.5229,8.41364,5379,5393,=AVERAGE(G51:H51),
6.4,299.152,299.264,598.416,17.2041,9.12836,5391,5361,=AVERAGE(G52:H52),
6.5,298.704,298.704,597.408,16.8583,9.82213,5358,5374,=AVERAGE(G53:H53),
6.6,298.368,298.368,596.736,16.4858,10.4945,5375,5390,=AVERAGE(G54:H54),
6.7,298.032,298.592,596.624,16.0869,11.1449,5394,5361,=AVERAGE(G55:H55),
6.8,298.816,298.256,597.072,15.662,11.773,5368,5381,=AVERAGE(G56:H56),
6.9,297.92,298.928,596.848,15.2113,12.3783,5390,5407,=AVERAGE(G57:H57),
7,298.928,298.144,597.072,14.7353,12.9603,5366,5379,=AVERAGE(G58:H58),
7.1,299.04,298.48,597.52,14.2342,13.5186,5394,5354,=AVERAGE(G59:H59),
7.2,299.488,298.032,597.52,13.7085,14.0529,5371,5382,=AVERAGE(G60:H60),
7.3,298.928,298.144,597.072,13.1585,14.5627,5346,5414,=AVERAGE(G61:H61),
7.4,299.152,298.48,597.632,12.5848,15.0475,5380,5336,=AVERAGE(G62:H62),
7.5,298.592,298.704,597.296,11.9876,15.5071,5415,5370,=AVERAGE(G63:H63),
7.6,298.256,298.704,596.96,11.3674,15.9411,5394,5407,=AVERAGE(G64:H64),
7.7,298.592,298.816,597.408,10.7248,16.3491,5375,5388,=AVERAGE(G65:H65),
7.8,297.808,299.04,596.848,10.06,16.7308,5353,5368,=AVERAGE(G66:H66),
7.9,300.048,298.032,598.08,9.3737,17.086,5399,5408,=AVERAGE(G67:H67),
8,299.152,299.376,598.528,8.66625,17.4143,5380,5330,=AVERAGE(G68:H68),
8.1,299.376,298.928,598.304,7.93818,17.7156,5362,5373,=AVERAGE(G69:H69),
8.2,298.032,299.936,597.968,7.19003,17.9894,5342,5421,=AVERAGE(G70:H70),
8.3,299.6,298.144,597.744,6.4222,18.2356,5392,5336,=AVERAGE(G71:H71),
8.4,18.032,18.368,36.4,7.03269,16.5113,5912,5923,=AVERAGE(G72:H72),
8.5,297.248,291.088,588.336,7.58918,16.1142,16773,17277,=AVERAGE(G73:H73),
8.6,298.928,300.16,599.088,7.60023,16.1142,5392,5410,=AVERAGE(G74:H74),
8.7,298.144,299.6,597.744,8.12397,15.691,5370,5389,=AVERAGE(G75:H75),
8.8,298.48,299.376,597.856,8.6375,15.242,5351,5368,=AVERAGE(G76:H76),
8.9,298.144,299.376,597.52,9.13021,14.7677,5401,5348,=AVERAGE(G77:H77),
9,299.712,298.256,597.968,9.60246,14.2682,5387,5398,=AVERAGE(G78:H78),
9.1,298.032,298.816,596.848,10.0548,13.7442,5365,5381,=AVERAGE(G79:H79),
9.2,298.704,298.032,596.736,10.4875,13.1958,5348,5361,=AVERAGE(G80:H80),
9.3,299.6,298.256,597.856,10.9011,12.6236,5407,5344,=AVERAGE(G81:H81),
9.4,298.256,298.368,596.624,11.2959,12.028,5389,5402,=AVERAGE(G82:H82),
9.5,298.592,299.376,597.968,11.6724,11.4093,5373,5388,=AVERAGE(G83:H83),
9.6,299.04,298.48,597.52,12.0311,10.7681,5358,5370,=AVERAGE(G84:H84),
9.7,299.824,298.48,598.304,12.3722,10.1049,5344,5354,=AVERAGE(G85:H85),
9.8,299.264,298.368,597.632,12.6963,9.41993,5407,5418,=AVERAGE(G86:H86),
9.9,297.808,298.48,596.288,13.0036,8.71386,5390,5405,=AVERAGE(G87:H87),
10,299.936,298.592,598.528,13.2946,7.9872,5298,5309,=AVERAGE(G88:H88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D88)
