Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,40.656,57.232,28.56,28.56,28.56,28.56,28.56,28.56,269.248,16.1833,10.8819,74939,57068,73879,74507,75096,75729,76249,76788,=AVERAGE(M3:T3),
1.6,221.536,209.216,234.64,232.624,223.776,218.4,208.656,209.888,1758.74,16.1833,10.8819,9914,9310,13730,14420,14739,15025,15423,16100,=AVERAGE(M4:T4),
1.7,232.848,227.36,222.432,223.776,221.312,213.92,226.576,215.152,1783.38,16.1833,10.8819,9913,9864,10303,10009,10183,10278,10041,9825,=AVERAGE(M5:T5),
1.8,221.984,225.232,223.216,223.552,227.472,238.336,228.48,227.136,1815.41,16.1833,10.8819,9746,10060,9753,9857,10014,10000,10089,10318,=AVERAGE(M6:T6),
1.9,233.968,229.936,228.592,224.896,223.888,216.048,229.152,218.96,1805.44,16.1833,10.8819,10094,10393,10196,10395,9855,9849,10217,10431,=AVERAGE(M7:T7),
2,213.696,228.928,224.784,224,233.072,225.792,222.656,226.128,1799.06,16.3097,11.7279,10153,10263,9983,10235,9859,9752,10439,9763,=AVERAGE(M8:T8),
2.1,230.832,224.336,225.344,226.8,220.192,225.456,231.504,225.904,1810.37,15.9825,13.4635,10188,9846,10164,10471,10111,10321,10260,10050,=AVERAGE(M9:T9),
2.2,218.736,226.912,221.536,231.392,226.688,232.736,223.552,226.688,1808.24,14.5861,14.9015,10137,10094,10202,9948,10032,9783,9996,9853,=AVERAGE(M10:T10),
2.3,224.224,224.672,220.976,221.984,227.808,219.296,229.04,228.816,1796.82,11.7919,15.9099,9819,9419,10130,9984,9790,9948,9955,10205,=AVERAGE(M11:T11),
2.4,199.696,204.288,214.144,206.64,204.96,204.848,189.952,197.344,1621.87,6.59804,16.3159,9839,10211,10047,9823,9892,9986,10088,10062,=AVERAGE(M12:T12),
2.5,0,0,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,0,0,=AVERAGE(M13:T13),
2.6,139.216,126.112,116.144,125.104,123.2,138.32,145.6,122.64,1036.34,16.9443,6.35782,42118,46933,51472,48611,48869,43185,40716,48592,=AVERAGE(M14:T14),
2.7,149.072,155.904,127.008,123.424,116.704,140.896,130.144,146.608,1089.76,18.0955,6.87199,23345,22906,28219,28079,30577,25403,26937,24044,=AVERAGE(M15:T15),
2.8,165.536,168.784,164.416,161.056,179.2,169.008,172.592,178.528,1359.12,6.77823,18.1257,10929,11159,11391,11296,11191,11338,10833,10675,=AVERAGE(M16:T16),
2.9,152.096,127.344,132.496,150.752,117.152,136.976,151.088,115.248,1083.15,6.39803,16.9157,21851,26166,25233,22701,28349,24153,22232,28824,=AVERAGE(M17:T17),
3,167.104,169.12,154.672,157.36,175.392,175.392,150.416,168,1317.46,13.7424,6.74613,11307,12540,12899,13797,11640,11855,13419,13031,=AVERAGE(M18:T18),
3.1,0,0,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,0,0,=AVERAGE(M19:T19),
3.2,234.192,201.936,223.44,212.128,215.712,210.896,223.44,201.04,1722.78,13.8149,15.7738,27677,31902,28889,30708,29671,30359,29064,32285,=AVERAGE(M20:T20),
3.3,222.208,232.288,229.936,220.64,228.256,213.472,224.672,227.472,1798.94,12.0224,16.3173,10313,10140,9964,10054,10370,10173,10418,9893,=AVERAGE(M21:T21),
3.4,229.376,217.28,224.224,226.24,227.584,233.184,225.008,225.008,1807.9,11.8397,16.315,9848,10462,10345,10326,10087,10254,10377,9849,=AVERAGE(M22:T22),
3.5,221.536,229.6,230.384,223.776,222.208,219.744,221.536,224.224,1793.01,11.6551,16.3046,9656,10098,9970,10235,10426,10173,9931,10032,=AVERAGE(M23:T23),
3.6,225.568,213.584,219.072,221.312,219.296,229.264,230.496,227.472,1786.06,11.4685,16.2864,9910,9805,10192,10061,9985,9893,9776,9762,=AVERAGE(M24:T24),
3.7,229.376,234.416,223.104,219.968,227.808,225.232,218.512,223.44,1801.86,11.28,16.2605,9989,10396,9510,9699,9572,9938,9729,9912,=AVERAGE(M25:T25),
3.8,220.528,207.872,219.632,229.488,230.384,215.488,241.136,226.688,1791.22,11.2554,16.2566,9943,10330,9801,9946,10022,9710,9871,10041,=AVERAGE(M26:T26),
3.9,217.504,229.264,229.712,231.728,217.616,230.272,211.68,230.16,1797.94,11.2554,16.2566,9729,10062,10004,10002,10171,10033,10048,10230,=AVERAGE(M27:T27),
4,237.104,226.352,238.784,218.512,226.352,222.208,220.528,214.368,1804.21,11.2554,16.2566,9746,9762,10236,9505,10102,9858,9784,9477,=AVERAGE(M28:T28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(J7:J28)
