Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,28.56,42.112,127.904,14.394,15.0139,57105,73786,73202,=AVERAGE(H3:J3),
1.6,282.912,297.92,289.296,870.128,14.394,15.0139,5762,9566,6329,=AVERAGE(H4:J4),
1.7,299.152,295.344,296.576,891.072,14.394,15.0139,5523,5568,5552,=AVERAGE(H5:J5),
1.8,298.144,297.696,296.912,892.752,14.394,15.0139,5521,5548,5540,=AVERAGE(H6:J6),
1.9,296.352,298.928,297.696,892.976,14.394,15.0139,5542,5535,5537,=AVERAGE(H7:J7),
2,297.024,296.464,298.032,891.52,14.2957,15.0676,5547,5551,5529,=AVERAGE(H8:J8),
2.1,297.36,297.36,297.248,891.968,14.0656,15.1842,5530,5560,5551,=AVERAGE(H9:J9),
2.2,297.808,296.128,296.912,890.848,13.8206,15.2962,5533,5557,5546,=AVERAGE(H10:J10),
2.3,296.912,296.128,297.024,890.064,13.5605,15.4034,5532,5559,5552,=AVERAGE(H11:J11),
2.4,297.808,297.136,297.92,892.864,13.2848,15.5056,5535,5552,5528,=AVERAGE(H12:J12),
2.5,296.016,297.696,296.8,890.512,12.9932,15.6027,5551,5549,5553,=AVERAGE(H13:J13),
2.6,296.8,297.696,296.352,890.848,12.6853,15.6945,5541,5560,5552,=AVERAGE(H14:J14),
2.7,297.696,296.464,299.152,893.312,12.3607,15.7808,5536,5550,5524,=AVERAGE(H15:J15),
2.8,297.472,298.592,295.904,891.968,12.019,15.8615,5530,5555,5553,=AVERAGE(H16:J16),
2.9,296.24,296.688,299.264,892.192,11.6597,15.9363,5554,5557,5519,=AVERAGE(H17:J17),
3,298.368,296.128,298.368,892.864,11.2826,16.0051,5529,5547,5536,=AVERAGE(H18:J18),
3.1,296.016,296.576,297.36,889.952,10.8871,16.0676,5557,5577,5549,=AVERAGE(H19:J19),
3.2,297.808,295.792,296.912,890.512,10.4728,16.1237,5532,5560,5549,=AVERAGE(H20:J20),
3.3,298.144,297.472,296.24,891.856,10.0394,16.1731,5513,5560,5547,=AVERAGE(H21:J21),
3.4,296.128,297.024,296.576,889.728,9.58645,16.2156,5556,5549,5539,=AVERAGE(H22:J22),
3.5,297.136,296.24,298.256,891.632,9.11346,16.2511,5542,5545,5542,=AVERAGE(H23:J23),
3.6,296.24,296.8,297.696,890.736,8.62006,16.2793,5531,5575,5529,=AVERAGE(H24:J24),
3.7,297.36,297.248,298.592,893.2,8.10582,16.2999,5552,5550,5547,=AVERAGE(H25:J25),
3.8,299.376,298.928,299.152,897.456,7.57031,16.3127,5559,5553,5550,=AVERAGE(H26:J26),
3.9,296.128,298.816,296.576,891.52,7.01306,16.3175,5540,5558,5554,=AVERAGE(H27:J27),
4,297.92,295.792,297.584,891.296,6.43364,16.3141,5557,5566,5545,=AVERAGE(H28:J28),
4.1,293.776,294.224,296.352,884.352,5.8317,16.3021,5546,5582,5535,=AVERAGE(H29:J29),
4.2,20.72,19.824,18.592,59.136,7.23397,13.572,5552,5571,5520,=AVERAGE(H30:J30),
4.3,297.584,292.096,286.048,875.728,7.25005,13.572,16879,17415,17958,=AVERAGE(H31:J31),
4.4,296.24,295.568,297.248,889.056,7.98105,13.297,5565,5585,5547,=AVERAGE(H32:J32),
4.5,297.136,296.576,294,887.712,8.70796,13.0061,5689,5677,5686,=AVERAGE(H33:J33),
4.6,297.584,296.464,297.472,891.52,9.41411,12.6989,5648,5692,5710,=AVERAGE(H34:J34),
4.7,295.232,298.816,296.576,890.624,10.0992,12.375,5695,5685,5668,=AVERAGE(H35:J35),
4.8,296.016,295.568,295.792,887.376,10.7627,12.034,5693,5703,5691,=AVERAGE(H36:J36),
4.9,297.136,298.256,295.456,890.848,11.404,11.6755,5694,5672,5688,=AVERAGE(H37:J37),
5,296.016,299.04,296.576,891.632,12.0229,11.2991,5660,5672,5690,=AVERAGE(H38:J38),
5.1,298.48,295.12,296.352,889.952,12.6187,10.9045,5668,5701,5693,=AVERAGE(H39:J39),
5.2,294.896,297.808,295.792,888.496,13.1911,10.491,5704,5712,5698,=AVERAGE(H40:J40),
5.3,288.848,285.152,288.96,862.96,13.7397,10.0585,5821,5893,5811,=AVERAGE(H41:J41),
