Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,42.112,28.56,28.56,28.56,28.56,213.584,16.1833,10.8819,59088,63754,73789,74442,76872,77436,=AVERAGE(K3:P3),
1.6,120.848,134.288,316.624,305.984,393.344,380.912,1652,16.1833,10.8819,12584,17334,18301,19325,18038,18702,=AVERAGE(K4:P4),
1.7,101.024,100.464,300.944,298.48,444.304,446.208,1691.42,16.1833,10.8819,7406,7388,7654,7709,7937,8065,=AVERAGE(K5:P5),
1.8,98.784,99.344,300.944,300.608,446.992,451.136,1697.81,16.1833,10.8819,7430,7319,7650,7728,7969,7972,=AVERAGE(K6:P6),
1.9,99.456,100.464,296.912,302.96,459.872,448.336,1708,16.1833,10.8819,7484,7536,7785,7731,7919,8132,=AVERAGE(K7:P7),
2,100.576,101.136,303.632,295.232,444.192,456.176,1700.94,16.3097,11.7279,7465,7428,7748,7724,8092,8030,=AVERAGE(K8:P8),
2.1,100.016,98.56,295.456,302.176,453.936,452.256,1702.4,15.9825,13.4634,7385,7343,7708,7594,7926,7901,=AVERAGE(K9:P9),
2.2,100.128,99.568,303.968,300.272,449.008,446.992,1699.94,14.5861,14.9015,7460,7358,7664,7613,7929,7793,=AVERAGE(K10:P10),
2.3,100.352,100.24,296.128,300.832,445.76,447.776,1691.09,11.7919,15.9099,7458,7446,7677,7607,7999,8081,=AVERAGE(K11:P11),
2.4,88.256,89.712,268.8,267.344,413.616,412.944,1540.67,6.59801,16.3159,7242,7327,7776,7756,7811,7891,=AVERAGE(K12:P12),
2.5,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,=AVERAGE(K13:P13),
2.6,105.616,104.832,186.256,179.984,245.84,223.776,1046.3,16.9442,6.35757,66913,68747,48712,50800,40224,43556,=AVERAGE(K14:P14),
2.7,112,103.376,204.4,192.08,233.52,263.312,1108.69,18.0955,6.87199,29085,35252,27390,28950,26068,23502,=AVERAGE(K15:P15),
2.8,72.352,77.056,227.696,217.728,330.4,336.224,1261.46,6.77765,18.126,7654,7702,8123,8021,8167,8296,=AVERAGE(K16:P16),
2.9,113.008,101.136,188.496,200.704,255.136,245.168,1103.65,6.39803,16.9157,26958,33945,28529,26886,23547,24179,=AVERAGE(K17:P17),
3,81.088,82.656,237.888,246.96,370.384,377.776,1396.75,13.7422,6.74737,7730,7689,8031,8069,8189,8271,=AVERAGE(K18:P18),
3.1,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,=AVERAGE(K19:P19),
3.2,148.848,142.688,311.36,309.456,406.896,403.2,1722.45,13.8152,15.7738,48199,51310,31340,31629,26493,26651,=AVERAGE(K20:P20),
3.3,99.232,99.232,304.528,297.584,450.464,444.304,1695.34,12.0224,16.3173,7122,7208,7498,7726,7802,7848,=AVERAGE(K21:P21),
3.4,101.584,101.808,297.024,299.936,456.4,451.136,1707.89,11.8397,16.315,7447,7254,7779,7714,8102,8030,=AVERAGE(K22:P22),
3.5,99.232,99.792,303.296,302.4,443.52,450.688,1698.93,11.6551,16.3046,7481,7388,7835,7507,7994,7871,=AVERAGE(K23:P23),
3.6,99.68,99.68,295.792,294.896,452.928,450.016,1692.99,11.4685,16.2864,7387,7430,7744,7669,7998,7901,=AVERAGE(K24:P24),
3.7,100.352,96.656,291.536,300.384,451.36,454.048,1694.34,11.28,16.2605,7381,7348,7655,7749,8014,7972,=AVERAGE(K25:P25),
3.8,97.552,99.344,304.864,294.56,447.44,444.64,1688.4,11.2554,16.2566,7312,7267,7707,7592,7913,7966,=AVERAGE(K26:P26),
3.9,98.672,100.128,293.328,296.128,451.696,457.632,1697.58,11.2554,16.2566,7429,7348,7481,7585,7834,7881,=AVERAGE(K27:P27),
4,102.368,101.024,296.128,306.88,436.576,446.208,1689.18,11.2554,16.2566,7314,7272,7679,7612,7841,7867,=AVERAGE(K28:P28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(H7:H28)
