Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,57.232,40.656,28.56,28.56,28.56,183.568,16.1833,10.8819,56942,74783,74013,74416,75126,=AVERAGE(J3:N3),
1.6,274.064,282.24,292.432,281.568,271.264,1401.57,16.1833,10.8819,6585,7285,10385,10744,11158,=AVERAGE(J4:N4),
1.7,291.76,288.848,292.32,291.984,292.992,1457.9,16.1833,10.8819,6452,6503,6475,6464,6491,=AVERAGE(J5:N5),
1.8,290.864,293.216,294.672,295.232,290.416,1464.4,16.1833,10.8819,6439,6454,6366,6458,6456,=AVERAGE(J6:N6),
1.9,293.328,293.104,293.216,291.76,290.752,1462.16,16.1833,10.8819,6419,6320,6407,6405,6406,=AVERAGE(J7:N7),
2,290.08,294.784,295.456,289.184,291.536,1461.04,16.3097,11.7279,6495,6420,6391,6486,6450,=AVERAGE(J8:N8),
2.1,294.896,294.448,289.408,289.296,291.424,1459.47,15.9825,13.4634,6363,6385,6397,6445,6418,=AVERAGE(J9:N9),
2.2,290.304,295.344,293.216,290.304,290.416,1459.58,14.5862,14.9015,6441,6332,6381,6454,6449,=AVERAGE(J10:N10),
2.3,290.752,293.552,292.096,293.664,290.304,1460.37,11.7921,15.9099,6504,6383,6422,6453,6481,=AVERAGE(J11:N11),
2.4,253.904,252.56,256.256,254.576,256.032,1273.33,6.59814,16.3159,6447,6478,6511,6471,6468,=AVERAGE(J12:N12),
2.5,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,=AVERAGE(J13:N13),
2.6,170.24,163.072,147.616,160.272,156.016,797.216,16.9443,6.35748,33588,35140,39479,36125,37380,=AVERAGE(J14:N14),
2.7,189.616,180.768,177.296,168.336,162.736,878.752,18.0955,6.87199,17776,19053,19398,20539,21304,=AVERAGE(J15:N15),
2.8,218.736,219.296,223.216,220.192,222.88,1104.32,6.77739,18.1253,6526,6511,6525,6545,6491,=AVERAGE(J16:N16),
2.9,189.392,180.208,168.56,177.744,166.432,882.336,6.39803,16.9157,17453,18436,19917,18867,20391,=AVERAGE(J17:N17),
3,248.08,250.656,248.752,251.552,250.096,1249.14,13.7423,6.74599,6499,6467,6551,6458,6454,=AVERAGE(J18:N18),
3.1,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,=AVERAGE(J19:N19),
3.2,287.28,280.336,264.656,273.168,278.096,1383.54,13.8152,15.774,20920,21639,23248,22496,21985,=AVERAGE(J20:N20),
3.3,287.84,293.104,296.576,292.432,291.76,1461.71,12.0224,16.3173,6434,6348,6343,6404,6404,=AVERAGE(J21:N21),
3.4,294.112,297.808,289.184,292.544,294.56,1468.21,11.8397,16.315,6426,6331,6416,6435,6347,=AVERAGE(J22:N22),
3.5,290.752,292.32,291.536,293.328,289.744,1457.68,11.6551,16.3046,6464,6380,6402,6440,6455,=AVERAGE(J23:N23),
3.6,291.872,292.768,291.424,294.224,296.464,1466.75,11.4685,16.2864,6418,6474,6496,6476,6353,=AVERAGE(J24:N24),
3.7,296.128,295.568,296.128,297.136,296.016,1480.98,11.28,16.2605,6391,6463,6467,6437,6461,=AVERAGE(J25:N25),
3.8,294.784,291.2,290.192,288.176,291.984,1456.34,11.2554,16.2566,6393,6435,6414,6385,6397,=AVERAGE(J26:N26),
3.9,290.08,292.768,291.424,293.552,292.88,1460.7,11.2554,16.2566,6383,6343,6480,6334,6427,=AVERAGE(J27:N27),
4,290.64,287.616,288.848,294.784,286.832,1448.72,11.2554,16.2566,6348,6410,6460,6415,6422,=AVERAGE(J28:N28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(G7:G28)
