Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,57.232,114.464,14.394,15.0139,56410,57478,=AVERAGE(G3:H3),
1.6,289.744,281.68,571.424,14.394,15.0139,5381,5424,=AVERAGE(G4:H4),
1.7,300.048,298.816,598.864,14.394,15.0139,5152,5166,=AVERAGE(G5:H5),
1.8,299.936,299.488,599.424,14.394,15.0139,5151,5161,=AVERAGE(G6:H6),
1.9,299.152,299.936,599.088,14.394,15.0139,5158,5153,=AVERAGE(G7:H7),
2,300.16,299.824,599.984,14.2957,15.0676,5150,5154,=AVERAGE(G8:H8),
2.1,298.704,300.16,598.864,14.0656,15.1842,5153,5154,=AVERAGE(G9:H9),
2.2,300.384,298.704,599.088,13.8206,15.2962,5150,5162,=AVERAGE(G10:H10),
2.3,299.936,300.16,600.096,13.5605,15.4034,5156,5159,=AVERAGE(G11:H11),
2.4,299.936,300.048,599.984,13.2848,15.5056,5144,5151,=AVERAGE(G12:H12),
2.5,299.152,299.824,598.976,12.9932,15.6027,5156,5156,=AVERAGE(G13:H13),
2.6,299.712,300.16,599.872,12.6853,15.6945,5156,5146,=AVERAGE(G14:H14),
2.7,299.488,299.936,599.424,12.3607,15.7808,5161,5167,=AVERAGE(G15:H15),
2.8,300.048,300.048,600.096,12.019,15.8615,5148,5149,=AVERAGE(G16:H16),
2.9,299.712,299.264,598.976,11.6597,15.9363,5149,5158,=AVERAGE(G17:H17),
3,299.936,299.824,599.76,11.2826,16.0051,5148,5155,=AVERAGE(G18:H18),
3.1,298.928,300.272,599.2,10.8871,16.0676,5165,5157,=AVERAGE(G19:H19),
3.2,300.272,299.936,600.208,10.4728,16.1237,5139,5158,=AVERAGE(G20:H20),
3.3,299.936,299.04,598.976,10.0394,16.1731,5155,5173,=AVERAGE(G21:H21),
3.4,300.048,300.048,600.096,9.58647,16.2156,5148,5149,=AVERAGE(G22:H22),
3.5,299.936,300.048,599.984,9.1135,16.2511,5151,5149,=AVERAGE(G23:H23),
3.6,300.048,298.816,598.864,8.62009,16.2793,5162,5178,=AVERAGE(G24:H24),
3.7,300.16,299.936,600.096,8.10584,16.2999,5139,5156,=AVERAGE(G25:H25),
3.8,299.936,300.048,599.984,7.57031,16.3127,5164,5135,=AVERAGE(G26:H26),
3.9,299.6,300.048,599.648,7.01306,16.3175,5149,5166,=AVERAGE(G27:H27),
4,300.16,299.264,599.424,6.43364,16.3141,5139,5179,=AVERAGE(G28:H28),
4.1,300.16,299.04,599.2,5.83174,16.3021,5158,5146,=AVERAGE(G29:H29),
4.2,294.784,294.336,589.12,7.23397,13.572,5148,5163,=AVERAGE(G30:H30),
4.3,304.752,303.856,608.608,7.24946,13.572,5160,5175,=AVERAGE(G31:H31),
4.4,300.272,299.936,600.208,7.98101,13.297,5158,5173,=AVERAGE(G32:H32),
4.5,299.152,299.936,599.088,8.70789,13.0061,5163,5149,=AVERAGE(G33:H33),
4.6,300.16,298.816,598.976,9.41411,12.6989,5142,5155,=AVERAGE(G34:H34),
4.7,298.816,300.16,598.976,10.0992,12.375,5151,5167,=AVERAGE(G35:H35),
4.8,300.048,299.264,599.312,10.7627,12.034,5165,5146,=AVERAGE(G36:H36),
4.9,300.048,299.152,599.2,11.404,11.6755,5147,5160,=AVERAGE(G37:H37),
5,300.048,299.712,599.76,12.0229,11.2991,5164,5178,=AVERAGE(G38:H38),
5.1,299.936,300.272,600.208,12.6187,10.9044,5148,5126,=AVERAGE(G39:H39),
5.2,299.04,299.936,598.976,13.1911,10.491,5131,5182,=AVERAGE(G40:H40),
5.3,299.936,298.928,598.864,13.7397,10.0585,5155,5167,=AVERAGE(G41:H41),
5.4,298.816,300.16,598.976,14.264,9.60634,5179,5154,=AVERAGE(G42:H42),
5.5,299.152,299.936,599.088,14.7636,9.13424,5167,5140,=AVERAGE(G43:H43),
5.6,299.936,299.04,598.976,15.2382,8.64172,5115,5166,=AVERAGE(G44:H44),
5.7,300.384,300.048,600.432,15.6873,8.12837,5185,5155,=AVERAGE(G45:H45),
5.8,299.936,300.16,600.096,16.1108,7.59376,5132,5143,=AVERAGE(G46:H46),
5.9,298.928,299.712,598.64,16.5081,7.03746,5163,5175,=AVERAGE(G47:H47),
6,298.816,300.272,599.088,16.8791,6.459,5153,5165,=AVERAGE(G48:H48),
