Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,55.44,28.56,141.232,14.394,15.0139,56366,59080,73386,=AVERAGE(H3:J3),
1.6,289.072,282.8,302.512,874.384,14.394,15.0139,5475,5521,9162,=AVERAGE(H4:J4),
1.7,300.16,299.152,299.488,898.8,14.394,15.0139,5249,5261,5255,=AVERAGE(H5:J5),
1.8,299.936,299.264,298.592,897.792,14.394,15.0139,5250,5256,5265,=AVERAGE(H6:J6),
1.9,298.816,300.608,298.816,898.24,14.394,15.0139,5255,5260,5267,=AVERAGE(H7:J7),
2,299.824,299.04,296.912,895.776,14.2957,15.0676,5246,5259,5291,=AVERAGE(H8:J8),
2.1,298.704,299.824,297.136,895.664,14.0656,15.1842,5260,5259,5282,=AVERAGE(H9:J9),
2.2,298.48,297.024,299.376,894.88,13.8206,15.2962,5259,5273,5257,=AVERAGE(H10:J10),
2.3,299.152,299.04,300.384,898.576,13.5605,15.4034,5253,5263,5266,=AVERAGE(H11:J11),
2.4,298.704,299.712,299.712,898.128,13.2848,15.5056,5267,5252,5260,=AVERAGE(H12:J12),
2.5,299.6,298.592,300.048,898.24,12.9932,15.6027,5240,5263,5257,=AVERAGE(H13:J13),
2.6,300.048,298.704,299.488,898.24,12.6853,15.6945,5246,5255,5247,=AVERAGE(H14:J14),
2.7,299.936,297.472,299.488,896.896,12.3607,15.7808,5250,5276,5250,=AVERAGE(H15:J15),
2.8,299.376,298.48,297.808,895.664,12.019,15.8615,5258,5263,5284,=AVERAGE(H16:J16),
2.9,300.048,299.824,298.256,898.128,11.6597,15.9363,5249,5251,5271,=AVERAGE(H17:J17),
3,299.6,298.368,297.92,895.888,11.2825,16.0051,5245,5257,5264,=AVERAGE(H18:J18),
3.1,298.928,300.048,300.048,899.024,10.8871,16.0676,5263,5261,5251,=AVERAGE(H19:J19),
3.2,298.144,296.8,299.376,894.32,10.4728,16.1237,5268,5291,5264,=AVERAGE(H20:J20),
3.3,300.048,297.024,298.704,895.776,10.0394,16.1731,5238,5276,5278,=AVERAGE(H21:J21),
3.4,298.368,300.16,298.144,896.672,9.58644,16.2156,5264,5256,5268,=AVERAGE(H22:J22),
3.5,298.816,299.824,300.048,898.688,9.1135,16.2511,5250,5256,5252,=AVERAGE(H23:J23),
3.6,298.368,299.824,299.488,897.68,8.62009,16.2793,5260,5244,5279,=AVERAGE(H24:J24),
3.7,299.04,300.16,300.048,899.248,8.10584,16.2999,5260,5260,5254,=AVERAGE(H25:J25),
3.8,300.048,299.6,299.824,899.472,7.57031,16.3127,5266,5262,5254,=AVERAGE(H26:J26),
3.9,299.936,299.936,298.704,898.576,7.01302,16.3175,5227,5270,5258,=AVERAGE(H27:J27),
4,300.16,298.928,299.6,898.688,6.43365,16.3141,5265,5258,5271,=AVERAGE(H28:J28),
4.1,296.912,297.36,299.6,893.872,5.83174,16.3021,5255,5248,5264,=AVERAGE(H29:J29),
4.2,296.352,296.688,294.896,887.936,7.23398,13.572,5279,5270,5280,=AVERAGE(H30:J30),
4.3,303.52,302.288,304.752,910.56,7.2501,13.572,5289,5332,5292,=AVERAGE(H31:J31),
4.4,299.824,297.136,299.712,896.672,7.98107,13.297,5232,5246,5260,=AVERAGE(H32:J32),
4.5,299.824,299.488,296.576,895.888,8.70789,13.0061,5266,5254,5291,=AVERAGE(H33:J33),
4.6,299.712,299.04,300.272,899.024,9.41416,12.6989,5244,5291,5242,=AVERAGE(H34:J34),
4.7,299.936,298.48,300.384,898.8,10.0992,12.375,5255,5238,5250,=AVERAGE(H35:J35),
4.8,298.48,296.8,298.704,893.984,10.7627,12.034,5233,5281,5259,=AVERAGE(H36:J36),
4.9,298.032,300.16,300.384,898.576,11.404,11.6755,5281,5267,5275,=AVERAGE(H37:J37),
5,300.384,298.48,299.936,898.8,12.0229,11.2991,5232,5247,5256,=AVERAGE(H38:J38),
5.1,297.024,300.16,299.04,896.224,12.6187,10.9044,5283,5267,5274,=AVERAGE(H39:J39),
5.2,298.592,298.368,300.272,897.232,13.1911,10.491,5271,5249,5259,=AVERAGE(H40:J40),
5.3,296.576,299.824,298.816,895.216,13.7397,10.0585,5255,5272,5241,=AVERAGE(H41:J41),
5.4,300.832,300.16,297.248,898.24,14.264,9.60634,5245,5259,5302,=AVERAGE(H42:J42),
5.5,299.04,299.04,298.48,896.56,14.7636,9.13421,5269,5244,5251,=AVERAGE(H43:J43),
5.6,298.48,299.488,297.36,895.328,15.2382,8.64172,5257,5230,5277,=AVERAGE(H44:J44),
5.7,298.144,299.824,299.6,897.568,15.6873,8.12834,5245,5258,5267,=AVERAGE(H45:J45),
5.8,300.048,298.592,300.384,899.024,16.1108,7.59374,5277,5289,5256,=AVERAGE(H46:J46),
