Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,55.104,28.56,28.56,28.56,28.56,28.56,255.136,14.394,15.0139,56401,59442,73258,73919,74468,75015,75583,=AVERAGE(L3:R3),
1.6,254.8,244.496,258.16,256.592,264.544,256.592,230.608,1765.79,14.394,15.0139,7422,7838,11991,12198,11932,12179,13591,=AVERAGE(L4:R4),
1.7,263.312,243.488,256.816,253.456,260.064,261.632,265.216,1803.98,14.394,15.0139,7436,7924,7691,7863,7605,7837,7656,=AVERAGE(L5:R5),
1.8,253.904,254.128,262.752,259.616,253.456,257.376,255.584,1796.82,14.394,15.0139,7846,7892,7707,7746,7637,7778,7743,=AVERAGE(L6:R6),
1.9,244.72,271.488,259.728,258.832,271.488,240.128,256.144,1802.53,14.394,15.0139,8167,7437,7960,7681,7450,8206,7687,=AVERAGE(L7:R7),
2,260.512,261.52,257.936,249.984,259.168,252.672,258.16,1799.95,14.2957,15.0676,7698,7637,7551,8017,7739,7886,7700,=AVERAGE(L8:R8),
2.1,266.112,258.608,253.344,265.552,247.856,253.12,259.392,1803.98,14.0655,15.1842,7583,7583,7737,7557,7856,7976,7921,=AVERAGE(L9:R9),
2.2,257.712,247.632,262.752,265.44,264.88,263.536,246.96,1808.91,13.8206,15.2962,7806,8127,7569,7623,7630,7545,8150,=AVERAGE(L10:R10),
2.3,262.416,267.344,259.952,258.608,250.992,266.448,247.072,1812.83,13.5605,15.4034,7628,7629,7948,7619,7854,7754,8056,=AVERAGE(L11:R11),
2.4,262.08,259.952,258.832,257.936,274.288,238.336,259.392,1810.82,13.2848,15.5056,7554,7742,7757,7715,7545,8469,7761,=AVERAGE(L12:R12),
2.5,273.168,254.128,256.704,258.944,255.024,252.672,247.968,1798.61,12.9932,15.6027,7361,7812,7908,7633,7753,7805,7834,=AVERAGE(L13:R13),
2.6,257.712,256.816,260.064,265.216,264.432,243.376,263.76,1811.38,12.6853,15.6945,7621,7714,7587,7565,7555,8213,7858,=AVERAGE(L14:R14),
2.7,270.48,256.368,258.608,257.376,250.768,264.88,256.704,1815.18,12.3607,15.7809,7529,7730,7816,7807,7956,7517,7734,=AVERAGE(L15:R15),
2.8,237.104,255.136,260.624,250.656,267.568,272.272,244.72,1788.08,12.0189,15.8615,8206,8050,7639,8058,7411,7511,8018,=AVERAGE(L16:R16),
2.9,253.232,254.24,259.28,253.568,256.592,257.152,271.376,1805.44,11.6597,15.9363,8111,7899,7571,7614,7622,7658,7525,=AVERAGE(L17:R17),
3,271.152,267.456,257.376,261.632,245.056,255.808,251.888,1810.37,11.2825,16.0051,7429,7410,7704,7936,8263,7781,7626,=AVERAGE(L18:R18),
3.1,271.152,254.352,269.808,260.4,242.592,246.064,252.448,1796.82,10.887,16.0676,7303,7815,7415,7386,8387,8110,8133,=AVERAGE(L19:R19),
3.2,244.944,259.728,247.632,260.288,267.792,268.464,254.24,1803.09,10.4728,16.1237,7921,7678,8004,7736,7542,7504,7987,=AVERAGE(L20:R20),
3.3,261.408,266.672,270.48,258.608,252.896,241.808,248.192,1800.06,10.0394,16.1731,7649,7432,7454,7864,8079,8166,8046,=AVERAGE(L21:R21),
3.4,264.768,270.032,255.696,252.112,246.848,253.68,258.16,1801.3,9.58644,16.2156,7548,7445,7680,7869,8094,7992,7896,=AVERAGE(L22:R22),
3.5,269.696,270.032,257.712,259.616,250.432,264.992,249.424,1821.9,9.1135,16.2511,7524,7502,7718,7771,7779,7611,8049,=AVERAGE(L23:R23),
3.6,259.616,265.104,271.936,269.136,267.232,249.088,235.2,1817.31,8.62007,16.2793,7658,7405,7449,7551,7596,8330,8360,=AVERAGE(L24:R24),
3.7,255.36,255.584,263.76,242.032,252.56,267.008,273.504,1809.81,8.10581,16.2999,7622,7944,7537,7719,7726,7353,7731,=AVERAGE(L25:R25),
3.8,250.32,256.816,260.064,264.992,262.528,255.024,252.448,1802.19,7.57027,16.3127,7924,7921,7556,7833,7560,7548,7663,=AVERAGE(L26:R26),
3.9,277.088,243.152,259.728,266.224,256.256,265.216,246.176,1813.84,7.01302,16.3175,7404,7496,7837,7351,8230,7671,8122,=AVERAGE(L27:R27),
4,261.968,267.68,239.68,266.336,253.904,249.76,263.76,1803.09,6.43366,16.3141,7448,7822,7889,7691,7820,7751,7755,=AVERAGE(L28:R28),
4.1,261.744,240.688,261.184,263.76,250.768,259.952,248.64,1786.74,5.83169,16.3021,7500,7727,7684,7567,7540,8090,7714,=AVERAGE(L29:R29),
4.2,258.496,259.504,260.064,243.488,263.648,247.184,251.44,1783.82,7.23407,13.572,8052,8052,7889,8072,7893,7839,8082,=AVERAGE(L30:R30),
4.3,245.84,250.656,263.312,260.288,258.832,251.44,260.96,1791.33,7.32576,13.572,8052,7986,7847,7904,7891,8014,7935,=AVERAGE(L31:R31),
4.4,261.072,254.016,254.24,255.808,246.288,253.568,245.728,1770.72,7.99591,13.297,7993,8037,7935,7911,8035,7911,7970,=AVERAGE(L32:R32),
4.5,244.944,253.792,251.104,251.104,248.864,254.688,256.592,1761.09,8.70794,13.0061,8050,7939,7890,8046,7934,7918,7991,=AVERAGE(L33:R33),
4.6,254.128,254.352,257.376,250.992,251.328,254.576,244.608,1767.36,9.41415,12.6989,7986,7959,8007,8008,8016,7959,8050,=AVERAGE(L34:R34),
4.7,260.512,253.008,248.976,246.624,255.024,251.888,262.304,1778.34,10.0992,12.375,7951,7882,7864,7897,7911,8035,7927,=AVERAGE(L35:R35),
