Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,14.394,15.0139,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,56,28.56,28.56,170.352,14.394,15.0139,56383,58580,73361,74023,=AVERAGE(I3:L3),
1.6,288.288,281.568,300.496,292.432,1162.78,14.394,15.0139,5630,5673,9369,9683,=AVERAGE(I4:L4),
1.7,298.144,299.04,293.328,299.04,1189.55,14.394,15.0139,5440,5419,5481,5426,=AVERAGE(I5:L5),
1.8,299.6,299.04,300.72,297.808,1197.17,14.394,15.0139,5429,5439,5430,5444,=AVERAGE(I6:L6),
1.9,294.448,295.792,295.792,297.696,1183.73,14.394,15.0139,5479,5457,5484,5460,=AVERAGE(I7:L7),
2,296.576,297.248,299.376,300.16,1193.36,14.2957,15.0676,5446,5450,5427,5434,=AVERAGE(I8:L8),
2.1,299.152,296.576,298.256,297.696,1191.68,14.0655,15.1842,5421,5449,5437,5444,=AVERAGE(I9:L9),
2.2,297.136,295.904,298.816,299.376,1191.23,13.8206,15.2962,5428,5453,5433,5434,=AVERAGE(I10:L10),
2.3,299.6,297.36,300.048,295.456,1192.46,13.5605,15.4034,5431,5446,5433,5471,=AVERAGE(I11:L11),
2.4,294.896,298.704,297.808,297.36,1188.77,13.2848,15.5056,5451,5428,5435,5444,=AVERAGE(I12:L12),
2.5,299.488,299.376,298.144,299.6,1196.61,12.9932,15.6027,5420,5423,5443,5443,=AVERAGE(I13:L13),
2.6,294.448,299.488,297.024,299.152,1190.11,12.6853,15.6945,5462,5408,5456,5426,=AVERAGE(I14:L14),
2.7,299.152,299.04,296.128,299.152,1193.47,12.3607,15.7808,5428,5424,5451,5423,=AVERAGE(I15:L15),
2.8,296.912,297.136,295.792,297.584,1187.42,12.019,15.8615,5443,5448,5481,5463,=AVERAGE(I16:L16),
2.9,299.824,295.568,297.36,298.928,1191.68,11.6597,15.9363,5411,5474,5430,5448,=AVERAGE(I17:L17),
3,299.152,297.136,296.016,296.8,1189.1,11.2825,16.0051,5433,5450,5477,5447,=AVERAGE(I18:L18),
3.1,298.816,296.24,297.024,299.376,1191.46,10.8871,16.0676,5403,5419,5418,5418,=AVERAGE(I19:L19),
3.2,299.376,298.48,297.472,297.696,1193.02,10.4728,16.1237,5421,5423,5431,5441,=AVERAGE(I20:L20),
3.3,298.368,297.808,300.496,299.6,1196.27,10.0394,16.1731,5417,5455,5450,5439,=AVERAGE(I21:L21),
3.4,295.792,298.592,298.144,299.264,1191.79,9.58643,16.2156,5442,5411,5434,5426,=AVERAGE(I22:L22),
3.5,296.576,293.664,297.36,298.704,1186.3,9.11347,16.2511,5448,5462,5451,5441,=AVERAGE(I23:L23),
3.6,297.472,295.568,297.808,299.376,1190.22,8.62007,16.2793,5421,5479,5440,5428,=AVERAGE(I24:L24),
3.7,298.144,297.024,298.144,299.712,1193.02,8.1058,16.2999,5441,5437,5457,5443,=AVERAGE(I25:L25),
3.8,299.488,298.256,297.472,298.816,1194.03,7.57027,16.3127,5447,5464,5435,5441,=AVERAGE(I26:L26),
3.9,296.576,296.016,298.48,299.152,1190.22,7.01306,16.3175,5453,5423,5467,5424,=AVERAGE(I27:L27),
4,297.136,299.04,293.664,297.808,1187.65,6.43368,16.3141,5420,5415,5449,5457,=AVERAGE(I28:L28),
4.1,295.568,295.456,296.464,296.576,1184.06,5.8317,16.3021,5410,5399,5419,5421,=AVERAGE(I29:L29),
4.2,297.136,295.904,295.904,296.24,1185.18,7.23397,13.572,5489,5530,5493,5496,=AVERAGE(I30:L30),
4.3,299.04,304.416,301.392,300.272,1205.12,7.25009,13.572,5551,5516,5557,5558,=AVERAGE(I31:L31),
4.4,297.36,294.784,295.68,298.48,1186.3,8.40164,13.297,5503,5514,5532,5537,=AVERAGE(I32:L32),
4.5,296.352,296.576,299.04,300.384,1192.35,8.70789,13.0061,5451,5465,5425,5429,=AVERAGE(I33:L33),
4.6,299.712,297.696,298.704,297.808,1193.92,9.41411,12.6989,5402,5444,5430,5431,=AVERAGE(I34:L34),
4.7,300.048,297.248,299.264,298.928,1195.49,10.0992,12.375,5442,5422,5438,5440,=AVERAGE(I35:L35),
4.8,298.48,297.92,299.376,299.152,1194.93,10.7627,12.034,5421,5434,5416,5418,=AVERAGE(I36:L36),
4.9,297.472,300.048,293.664,299.488,1190.67,11.4041,11.6755,5468,5416,5456,5431,=AVERAGE(I37:L37),
5,297.36,298.928,299.712,294.112,1190.11,12.0229,11.2991,5417,5430,5445,5476,=AVERAGE(I38:L38),
5.1,298.928,297.808,295.008,299.6,1191.34,12.6187,10.9045,5436,5447,5458,5429,=AVERAGE(I39:L39),
