Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,57.232,55.104,28.56,28.56,28.56,198.016,14.394,15.0139,56356,59395,73217,73874,74407,=AVERAGE(J3:N3),
1.6,281.232,278.096,298.032,290.416,283.024,1430.8,14.394,15.0139,6054,6082,9754,10031,10369,=AVERAGE(J4:N4),
1.7,294.896,296.128,294,291.2,299.936,1476.16,14.394,15.0139,5827,5845,5813,5878,5875,=AVERAGE(J5:N5),
1.8,292.88,296.352,295.904,299.04,297.024,1481.2,14.394,15.0139,5845,5794,5787,5802,5796,=AVERAGE(J6:N6),
1.9,295.456,297.808,298.48,294.56,295.232,1481.54,14.394,15.0139,5831,5789,5743,5789,5795,=AVERAGE(J7:N7),
2,297.36,292.208,294.112,299.376,296.016,1479.07,14.2957,15.0676,5769,5852,5821,5786,5823,=AVERAGE(J8:N8),
2.1,293.664,298.144,295.568,297.136,295.568,1480.08,14.0656,15.1842,5870,5796,5859,5855,5806,=AVERAGE(J9:N9),
2.2,297.136,296.352,293.664,294.336,298.704,1480.19,13.8206,15.2962,5783,5810,5830,5837,5812,=AVERAGE(J10:N10),
2.3,296.688,291.984,297.248,295.568,296.128,1477.62,13.5605,15.4034,5827,5907,5771,5742,5770,=AVERAGE(J11:N11),
2.4,289.184,299.6,297.024,298.816,296.576,1481.2,13.2848,15.5056,5867,5751,5757,5771,5812,=AVERAGE(J12:N12),
2.5,294.896,295.904,296.464,297.584,292.32,1477.17,12.9932,15.6027,5808,5813,5771,5812,5849,=AVERAGE(J13:N13),
2.6,299.152,288.4,294.896,297.472,294,1473.92,12.6853,15.6945,5736,5926,5887,5754,5848,=AVERAGE(J14:N14),
2.7,294.112,298.256,298.928,296.24,296.8,1484.34,12.3607,15.7808,5826,5798,5826,5826,5848,=AVERAGE(J15:N15),
2.8,293.216,295.904,296.8,294.672,296.8,1477.39,12.019,15.8615,5889,5829,5809,5823,5832,=AVERAGE(J16:N16),
2.9,295.232,299.488,296.912,294.112,298.256,1484,11.6597,15.9363,5794,5725,5747,5873,5824,=AVERAGE(J17:N17),
3,298.144,296.016,296.8,295.792,296.128,1482.88,11.2826,16.0051,5810,5770,5791,5802,5773,=AVERAGE(J18:N18),
3.1,293.44,298.032,293.776,292.656,298.816,1476.72,10.8871,16.0676,5848,5802,5829,5952,5846,=AVERAGE(J19:N19),
3.2,291.648,296.464,298.816,296.128,294.56,1477.62,10.4728,16.1237,5818,5781,5758,5752,5816,=AVERAGE(J20:N20),
3.3,296.912,296.912,294.336,298.928,291.648,1478.74,10.0394,16.1731,5794,5794,5793,5816,5858,=AVERAGE(J21:N21),
3.4,296.464,298.816,298.144,296.016,294.448,1483.89,9.58643,16.2156,5820,5825,5828,5797,5816,=AVERAGE(J22:N22),
3.5,293.888,290.864,297.136,296.352,291.76,1470,9.11346,16.2511,5818,5854,5808,5834,5889,=AVERAGE(J23:N23),
3.6,297.696,298.704,296.8,291.424,294.896,1479.52,8.62005,16.2793,5835,5819,5817,5835,5866,=AVERAGE(J24:N24),
3.7,297.024,297.808,295.456,299.04,296.352,1485.68,8.10579,16.2999,5788,5747,5855,5800,5886,=AVERAGE(J25:N25),
3.8,295.904,299.376,297.808,296.24,293.888,1483.22,7.57031,16.3127,5763,5769,5773,5770,5794,=AVERAGE(J26:N26),
3.9,298.032,290.08,297.024,297.696,295.904,1478.74,7.01302,16.3175,5747,5807,5776,5822,5800,=AVERAGE(J27:N27),
4,294.56,296.576,293.328,294.336,296.352,1475.15,6.43368,16.3141,5749,5756,5806,5779,5758,=AVERAGE(J28:N28),
4.1,298.032,300.72,292.096,296.8,295.232,1482.88,5.83174,16.3021,5743,5776,5876,5771,5741,=AVERAGE(J29:N29),
4.2,297.136,291.984,292.88,293.216,296.016,1471.23,7.23397,13.572,5949,5949,5960,5976,5972,=AVERAGE(J30:N30),
4.3,294.896,300.608,299.824,298.592,294.672,1488.59,7.25009,13.572,6070,6021,6031,6045,6064,=AVERAGE(J31:N31),
4.4,296.688,295.568,292.096,291.872,296.128,1472.35,7.99607,13.297,6004,6006,6044,6059,6023,=AVERAGE(J32:N32),
4.5,295.008,291.76,294.56,293.216,291.424,1465.97,8.72873,13.0061,6022,6084,6066,6050,6067,=AVERAGE(J33:N33),
4.6,295.12,292.992,296.8,295.008,299.712,1479.63,9.41414,12.6989,5856,5858,5810,5854,5877,=AVERAGE(J34:N34),
4.7,293.552,297.808,295.232,291.984,296.016,1474.59,10.0993,12.375,5802,5779,5784,5828,5755,=AVERAGE(J35:N35),
4.8,292.096,296.016,297.136,297.472,293.664,1476.38,10.7627,12.034,5878,5786,5829,5846,5790,=AVERAGE(J36:N36),
4.9,296.8,296.8,297.696,294.112,291.76,1477.17,11.4041,11.6755,5765,5799,5809,5856,5936,=AVERAGE(J37:N37),
5,297.696,296.24,294.56,296.464,290.752,1475.71,12.0229,11.2991,5779,5814,5786,5876,5886,=AVERAGE(J38:N38),
5.1,297.024,295.68,291.872,298.592,296.128,1479.3,12.6187,10.9044,5794,5795,5872,5790,5803,=AVERAGE(J39:N39),
5.2,297.024,297.92,291.536,297.808,298.368,1482.66,13.1911,10.491,5776,5742,5820,5769,5749,=AVERAGE(J40:N40),
5.3,295.904,297.36,298.592,298.816,294.896,1485.57,13.7397,10.0585,5757,5760,5812,5750,5798,=AVERAGE(J41:N41),
5.4,297.92,290.864,298.928,294.112,294.448,1476.27,14.264,9.60632,5741,5854,5796,5803,5819,=AVERAGE(J42:N42),
5.5,296.8,294,294,297.92,291.424,1474.14,14.7636,9.1342,5762,5804,5815,5831,5922,=AVERAGE(J43:N43),
5.6,296.576,293.776,293.888,297.36,294.672,1476.27,15.2382,8.64169,5786,5872,5842,5816,5790,=AVERAGE(J44:N44),
5.7,292.432,293.776,296.128,295.68,295.904,1473.92,15.6874,8.12833,5854,5905,5832,5843,5818,=AVERAGE(J45:N45),
5.8,297.808,293.104,296.576,297.808,296.352,1481.65,16.1108,7.59372,5762,5809,5821,5790,5847,=AVERAGE(J46:N46),
5.9,295.008,299.936,295.008,297.136,297.024,1484.11,16.5081,7.03743,5833,5803,5763,5775,5792,=AVERAGE(J47:N47),
6,294.672,295.456,298.256,294.896,289.52,1472.8,16.8791,6.45899,5868,5833,5797,5804,5908,=AVERAGE(J48:N48),
6.1,291.984,295.232,291.76,292.656,294.672,1466.3,18.4094,5.80459,6046,6007,6060,6070,6041,=AVERAGE(J49:N49),
6.2,290.976,295.904,296.8,289.408,295.904,1468.99,17.8146,7.67851,6093,6053,6060,6118,6040,=AVERAGE(J50:N50),
6.3,295.68,296.128,292.544,292.656,292.768,1469.78,17.5229,8.41368,5950,6004,6011,6022,6037,=AVERAGE(J51:N51),
6.4,294.896,292.208,292.208,298.144,287.056,1464.51,17.204,9.12838,6045,6002,6059,6021,6135,=AVERAGE(J52:N52),
6.5,298.032,296.016,292.096,293.44,298.928,1478.51,16.8583,9.82217,5945,5950,6008,6018,5937,=AVERAGE(J53:N53),
6.6,296.688,292.768,296.24,294.672,299.264,1479.63,16.4858,10.4945,5788,5842,5854,5760,5831,=AVERAGE(J54:N54),
6.7,297.92,296.688,296.688,295.904,294.56,1481.76,16.0869,11.1449,5831,5785,5794,5853,5817,=AVERAGE(J55:N55),
6.8,294.896,294.896,293.776,297.472,297.584,1478.62,15.662,11.773,5767,5826,5835,5794,5809,=AVERAGE(J56:N56),
6.9,296.688,296.24,296.352,294.56,297.136,1480.98,15.2113,12.3783,5813,5765,5829,5890,5853,=AVERAGE(J57:N57),
7,297.808,294.896,298.704,296.576,297.248,1485.23,14.7352,12.9603,5696,5865,5768,5775,5790,=AVERAGE(J58:N58),
7.1,292.992,298.816,295.008,292.432,297.696,1476.94,14.2342,13.5187,5905,5805,5811,5874,5780,=AVERAGE(J59:N59),
7.2,294.672,293.776,294.784,297.36,298.256,1478.85,13.7085,14.0529,5845,5851,5860,5814,5827,=AVERAGE(J60:N60),
