Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,54.992,28.56,28.56,28.56,28.56,226.464,14.394,15.0139,56439,59598,73319,73961,74491,75038,=AVERAGE(K3:P3),
1.6,281.008,264.432,284.256,282.24,279.44,264.096,1655.47,14.394,15.0139,6538,6884,10812,10786,11015,11651,=AVERAGE(K4:P4),
1.7,285.264,292.544,283.248,286.496,286.944,289.632,1724.13,14.394,15.0139,6728,6598,6779,6862,6590,6689,=AVERAGE(K5:P5),
1.8,284.704,286.272,286.384,286.272,288.176,284.256,1716.06,14.394,15.0139,6771,6678,6714,6631,6831,6704,=AVERAGE(K6:P6),
1.9,285.264,280.56,286.272,283.92,293.664,290.64,1720.32,14.394,15.0139,6740,6814,6712,6743,6522,6632,=AVERAGE(K7:P7),
2,289.52,290.416,289.184,290.976,279.552,287.392,1727.04,14.2957,15.0676,6617,6701,6626,6610,7023,6577,=AVERAGE(K8:P8),
2.1,286.608,292.432,285.824,280.56,289.52,284.592,1719.54,14.0655,15.1842,6685,6674,6653,6814,6680,6778,=AVERAGE(K9:P9),
2.2,285.488,285.712,293.552,289.632,284.032,286.496,1724.91,13.8206,15.2962,6735,6667,6564,6560,6713,6806,=AVERAGE(K10:P10),
2.3,280.336,282.24,285.6,277.648,288.064,293.552,1707.44,13.5605,15.4034,6849,6731,6705,6814,6611,6568,=AVERAGE(K11:P11),
2.4,287.28,293.328,277.872,295.792,286.944,285.488,1726.7,13.2848,15.5056,6658,6623,6843,6659,6728,6656,=AVERAGE(K12:P12),
2.5,289.408,284.592,285.264,276.976,283.472,288.288,1708,12.9932,15.6027,6650,6650,6848,6934,6734,6534,=AVERAGE(K13:P13),
2.6,287.28,290.752,289.184,288.512,278.88,288.736,1723.34,12.6853,15.6945,6728,6568,6592,6558,6914,6718,=AVERAGE(K14:P14),
2.7,284.368,285.936,282.912,288.176,283.472,286.272,1711.14,12.3607,15.7808,6720,6769,6753,6678,6711,6754,=AVERAGE(K15:P15),
2.8,285.04,282.576,292.88,290.752,283.36,280.224,1714.83,12.019,15.8615,6699,6663,6621,6661,6821,6871,=AVERAGE(K16:P16),
2.9,285.152,290.528,284.592,284.816,291.648,278.768,1715.5,11.6597,15.9363,6660,6641,6668,6679,6693,6712,=AVERAGE(K17:P17),
3,285.152,285.6,288.624,287.056,283.472,287.616,1717.52,11.2825,16.0051,6746,6721,6709,6611,6676,6800,=AVERAGE(K18:P18),
3.1,289.52,289.072,283.248,279.888,285.824,281.792,1709.34,10.8871,16.0676,6670,6671,6677,6869,6782,6822,=AVERAGE(K19:P19),
3.2,283.248,289.184,288.288,291.424,289.184,277.648,1718.98,10.4728,16.1237,6760,6671,6752,6674,6622,6874,=AVERAGE(K20:P20),
3.3,291.424,285.936,281.456,284.032,284.928,293.888,1721.66,10.0394,16.1731,6586,6806,6831,6717,6697,6597,=AVERAGE(K21:P21),
3.4,292.768,289.968,284.256,279.44,279.552,288.96,1714.94,9.58644,16.2156,6549,6571,6839,6912,6883,6625,=AVERAGE(K22:P22),
3.5,287.056,285.824,284.144,285.04,290.864,288.064,1720.99,9.11347,16.2511,6743,6772,6690,6779,6697,6726,=AVERAGE(K23:P23),
3.6,285.712,284.48,297.136,287.84,281.792,283.584,1720.54,8.62006,16.2793,6737,6833,6576,6734,6914,6829,=AVERAGE(K24:P24),
3.7,278.208,286.832,284.816,281.68,289.632,291.312,1712.48,8.10581,16.2999,6797,6603,6726,6852,6629,6799,=AVERAGE(K25:P25),
3.8,287.84,297.584,282.016,287.392,290.752,275.632,1721.22,7.57028,16.3127,6801,6482,6794,6848,6460,6850,=AVERAGE(K26:P26),
3.9,283.248,282.8,288.064,284.48,280.112,283.36,1702.06,7.01305,16.3175,6619,6681,6697,6716,6682,6635,=AVERAGE(K27:P27),
4,290.976,272.272,285.488,280.336,296.912,288.4,1714.38,6.43365,16.3141,6788,6522,6627,6822,6596,6622,=AVERAGE(K28:P28),
4.1,286.608,284.48,285.376,272.608,285.936,291.76,1706.77,5.83171,16.3021,6758,6951,6820,6729,6709,6684,=AVERAGE(K29:P29),
4.2,270.928,289.968,278.992,281.008,275.52,274.176,1670.59,7.23397,13.572,6884,6943,6928,7095,6967,6981,=AVERAGE(K30:P30),
4.3,286.72,278.88,281.344,284.928,286.608,283.248,1701.73,7.32575,13.572,6965,7073,7001,7007,6989,7003,=AVERAGE(K31:P31),
4.4,280.896,279.664,278.768,275.632,284.368,273.28,1672.61,7.98106,13.297,7044,7013,6992,7022,6978,7109,=AVERAGE(K32:P32),
4.5,276.864,276.752,281.344,284.48,271.488,274.288,1665.22,8.80416,13.0061,6979,7039,7016,6988,7088,7201,=AVERAGE(K33:P33),
4.6,279.216,280.672,277.536,276.192,284.928,274.96,1673.5,9.41415,12.6989,7006,6943,6977,7038,6963,7076,=AVERAGE(K34:P34),
4.7,280,276.528,277.312,277.536,277.76,282.576,1671.71,10.0992,12.375,7002,7099,7068,7032,7015,7074,=AVERAGE(K35:P35),
4.8,284.144,279.44,283.696,286.608,276.864,279.328,1690.08,10.7627,12.034,6899,7033,6967,6898,6974,6935,=AVERAGE(K36:P36),
4.9,286.384,283.36,284.704,283.92,294.224,284.144,1716.74,11.4041,11.6755,6754,6825,6720,6745,6677,6756,=AVERAGE(K37:P37),
5,288.848,279.216,285.712,289.52,287.504,293.552,1724.35,12.0229,11.2991,6670,6807,6630,6627,6641,6644,=AVERAGE(K38:P38),
5.1,283.808,294,290.976,283.024,286.16,279.44,1717.41,12.6187,10.9044,6786,6666,6753,6697,6793,6812,=AVERAGE(K39:P39),
5.2,285.04,290.192,281.568,284.592,287.728,286.496,1715.62,13.1911,10.491,6699,6639,6800,6788,6631,6656,=AVERAGE(K40:P40),
5.3,291.312,285.376,279.216,285.6,291.984,292.768,1726.26,13.7397,10.0584,6539,6724,6861,6925,6614,6642,=AVERAGE(K41:P41),
5.4,280.336,276.976,287.728,287.504,287.504,281.232,1701.28,14.264,9.60632,6852,6860,6663,6609,6738,6837,=AVERAGE(K42:P42),
5.5,285.712,288.288,290.08,283.472,285.376,288.512,1721.44,14.7636,9.13421,6687,6700,6686,6779,6680,6672,=AVERAGE(K43:P43),
5.6,291.536,290.08,282.016,289.296,286.608,276.416,1715.95,15.2382,8.6417,6637,6686,6782,6690,6704,6846,=AVERAGE(K44:P44),
5.7,285.824,288.512,294.448,284.368,283.472,282.464,1719.09,15.6874,8.12837,6696,6585,6659,6666,6769,6883,=AVERAGE(K45:P45),
5.8,286.944,283.584,282.8,286.496,285.6,295.008,1720.43,16.1108,7.59373,6683,6688,6582,6736,6716,6633,=AVERAGE(K46:P46),
5.9,276.976,288.512,288.736,288.064,285.152,283.024,1710.46,16.5081,7.03742,6840,6591,6789,6680,6790,6729,=AVERAGE(K47:P47),
6,278.544,289.408,282.576,289.408,285.488,287.392,1712.82,16.8791,6.45901,6927,6575,6546,6577,6735,6675,=AVERAGE(K48:P48),
6.1,282.464,274.176,281.232,276.752,281.904,276.976,1673.5,18.4091,5.80459,7019,7063,6992,7105,7000,7024,=AVERAGE(K49:P49),
6.2,282.688,280,285.152,272.272,283.136,280.896,1684.14,17.8146,7.67853,6926,7017,6992,7013,6952,6928,=AVERAGE(K50:P50),
6.3,277.536,282.8,279.552,286.496,275.296,280.784,1682.46,17.5229,8.41369,7022,6970,6893,6965,6899,6973,=AVERAGE(K51:P51),
6.4,281.344,270.368,279.328,277.088,288.288,282.352,1678.77,17.2041,9.12838,6974,7125,6990,7062,6997,7021,=AVERAGE(K52:P52),
6.5,276.416,280.448,281.232,280.336,277.76,284.032,1680.22,16.8583,9.82218,6974,7023,7091,6962,6997,6970,=AVERAGE(K53:P53),
6.6,284.592,281.456,282.128,276.864,279.888,272.272,1677.2,16.4858,10.4945,6974,6974,6940,7012,7049,7073,=AVERAGE(K54:P54),
6.7,278.544,278.992,280.224,283.248,282.128,279.216,1682.35,16.0869,11.145,7080,7027,6991,6959,6998,7021,=AVERAGE(K55:P55),
6.8,276.416,279.664,276.976,285.824,269.584,285.152,1673.62,15.662,11.773,7085,6975,7045,6958,7110,7021,=AVERAGE(K56:P56),
6.9,282.464,286.832,283.808,286.272,286.832,286.496,1712.7,15.2113,12.3783,6705,6652,6720,6688,6677,6699,=AVERAGE(K57:P57),
7,292.768,290.752,288.512,288.512,285.04,282.576,1728.16,14.7352,12.9603,6544,6699,6606,6624,6828,6683,=AVERAGE(K58:P58),
7.1,289.072,291.424,292.88,288.512,284.032,291.088,1737.01,14.2342,13.5187,6688,6579,6598,6610,6766,6626,=AVERAGE(K59:P59),
7.2,285.152,284.032,287.728,292.656,288.4,285.04,1723.01,13.7084,14.0529,6617,6785,6690,6601,6705,6774,=AVERAGE(K60:P60),
7.3,290.08,282.688,280.448,283.136,284.704,290.08,1711.14,13.1585,14.5627,6725,6719,6909,6808,6691,6713,=AVERAGE(K61:P61),
7.4,281.232,294,287.056,285.152,289.072,289.072,1725.58,12.5847,15.0475,6770,6606,6732,6626,6627,6586,=AVERAGE(K62:P62),
7.5,286.832,284.48,283.024,287.056,290.64,285.712,1717.74,11.9876,15.5071,6708,6703,6721,6676,6617,6746,=AVERAGE(K63:P63),
7.6,293.216,288.512,287.392,290.64,280.448,285.824,1726.03,11.3674,15.9411,6586,6577,6777,6670,6902,6678,=AVERAGE(K64:P64),
